username,date,content
narendramodi,2019-07-15,"Wishing @DrRPNishank Ji a happy birthday. A prolific writer and scholar, Dr. Nishank is making exemplary contributions towards improving India’s education sector. Wishing him a long and healthy life."
narendramodi,2019-07-12,"The beautiful town of Pandharpur in Maharashtra has a special link with Ashadhi Ekadashi.  Know more in this video."
narendramodi,2019-07-10,"A disappointing result, but good to see #TeamIndia’s fighting spirit till the very end. India batted, bowled, fielded well throughout the tournament, of which we are very proud. Wins and losses are a part of life. Best wishes to the team for their future endeavours. #INDvsNZ"
narendramodi,2019-07-10,"Exceptional achievement of an exceptional athlete! Congratulations @DuteeChand for winning a hard earned and well deserved Gold in the Women’s 100 m finals. You make India proud! #Universiade  @FISU"
narendramodi,2019-07-10,"Greetings to everyone, especially the people of Tripura on the start of the auspicious Kharchi Pooja. May Chaturdash Devata bless everyone with happiness, good health and prosperity."
narendramodi,2019-07-09,"Had a great meeting with UAE’s Foreign Minister, His Highness Sheikh Abdullah Bin Zayed Al Nahyan. We talked at length about further improving economic and cultural relations between India and UAE. @ABZayed"
narendramodi,2019-07-09,"The @BJP4India will be enriched by your active contribution to the Party! Come, be a part of the BJP and contribute to a strong as well as developed India."narendramodi,2019-07-09,"Glimpses from the @BJP4India Parliamentary Party meeting, where we discussed a wide range of issues."
narendramodi,2019-07-08,"People like Geeta Rabari inspire our society. Belonging to a humble background, she dedicatedly pursued her passion of singing and excelled. I am deeply impressed by her efforts to popularise Gujarati folk music among youngsters. Best wishes for her future endeavours."
narendramodi,2019-07-08,"Geeta Rabari is a young and prolific singer from Gujarat, whose works have enthralled Gujaratis globally! I remember encouraging her to pursue singing when she was a child and today, I had the opportunity to interact with her. It was wonderful to know more about her experiences."
narendramodi,2019-07-08,"Wonderful interaction with @authoramish. Received copies of his works, which are being widely read across the nation. His writings have generated immense curiosity about India’s rich past and culture. Best wishes to him."
narendramodi,2019-07-08,"Pained by the bus accident in Agra, Uttar Pradesh. Condolences to the families who have lost their loved ones. I pray that those injured recover fast. The State Government and local administration are providing all possible assistance to the affected."
narendramodi,2019-07-07,"During #MannKiBaat last week, I had talked about a book I read and urged you all to share what is on your reading table. Am glad people are responding enthusiastically. Keep reading and keep sharing on the NaMo App! http://nm-4.com/poq8"
