username,date,content
narendramodi,2019-07-06,"When infrastructure improves, the economy gets stronger. That is why, the NDA Government is working round the clock to build next-generation infrastructure."
narendramodi,2019-07-06,"Together, we will protect our environment. Urging you all to plant more trees and contribute to a better planet. Here’s a video from the tree planting effort of the Uttar Pradesh Government."
narendramodi,2019-07-06,"Planted a tree by placing a Matka underground and filling it with water.This is an easy and effective way to create a greener tomorrow. I had also written about this method on my blog back in 2011. Sharing it once again. http://nm4.in/wCfCYH"
narendramodi,2019-07-06,"Jaipur is a city associated with culture and valour. Elegant and energetic, Jaipur’s hospitality draws people from all over. Glad that this city has been inscribed as a World Heritage Site by @UNESCO."narendramodi,2019-07-06,In Varanasi. Speaking on various important issues. Watch.
narendramodi,2019-07-06,"At around 11:30 this morning, I will address the programme in Varanasi marking the launch of @BJP4India’s Membership Drive. During my speech, I will elaborate on my thoughts on the Budget and India’s growth trajectory in the coming years.  Do watch."narendramodi,2019-07-05,"Tomorrow afternoon in Varanasi, I will visit the Virtual Museum at Man Mahal. Situated near the iconic Dashashwamedh Ghat, this is a cultural landmark of the city. It showcases aspects of our great cultural heritage."
narendramodi,2019-07-04,"Best wishes to everyone on the special occasion of the Rath Yatra. We pray to Lord Jagannath and seek his blessings for the good health, happiness and prosperity of everyone. Jai Jagannath."
narendramodi,2019-07-03,Shri Basant Kumar Birla was a distinguished industrialist who contributed to our nation’s prosperity. He also made a mark as an exceptional philanthropist. His passion for education was well-known. My thoughts are with his family and well-wishers in this hour of grief. Om Shanti.
narendramodi,2019-07-03,"Met the exceptional Khimchandbhai from Amreli, Gujarat. Khimchandbhai decided that if BJP wins 300+ seats, he would cycle from Amreli to Delhi. He kept his word and am told that his cycle journey has drawn several admirers. I was deeply impressed by his humility and passion."
narendramodi,2019-07-02,Refreshing interaction with IAS officers of the 2017 batch who begin their stints as Assistant Secretaries in the Central Government. Was a delight to hear their views on governance related issues including their experience from Aspirational Districts. http://nm-4.com/bvq8
narendramodi,2019-07-02,Had a great @BJP4India Parliamentary Party meet earlier today. A wide range of issues were discussed. Looking forward to a fruitful session ahead.
narendramodi,2019-07-01,"Union Home Minister Shri @AmitShah’s speeches in both Houses of Parliament were comprehensive and insightful. Those who want a clearer understanding of the Kashmir issue must hear his speeches. https://youtu.be/LNaOJbUZsT8 https://youtu.be/sAooRRAmpSo"
narendramodi,2019-07-01,"Passage of Jammu and Kashmir Reservation (Amendment) Bill ensures justice for those living in the border areas of Kathua, Samba & Jammu districts. The aspirations of the bright and talented youth of these areas will be fulfilled, which is wonderful for the state and our nation."
narendramodi,2019-07-01,"Both Houses of Parliament unanimously passed two important bills pertaining to Jammu and Kashmir. These bills were passed after rich debates, enriched by participation of MPs across party lines. I thank all parties for their support. Such bipartisan support is gladdening."
narendramodi,2019-07-01,"Wise words from @SrBachchan, which will surely inspire you towards conserving water and urging others to do so as well! #JanShakti4JalShakti"
narendramodi,2019-07-01,"Extremely valid points by @aamir_khan on the need to conserve water and create awareness at the grassroots level. #JanShakti4JalShakti"
narendramodi,2019-07-01,"Narendra Modi@narendramodi·Jul 1, 2019 I urge my fellow Indians to wholeheartedly support the #JalShaktiAbhiyan. Let us leave no stone unturned in strengthening the mass movement to conserve water. #JanShakti4JalShakti"
